chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,telemetry,comment
0,1742633895,2025-03-22T08:58:15Z,HG8PCS-11,HG7PDK-2?,5(2/2),0,),T2CSNGRAD,/I,46.712167,20.124667,,,,,,,"DIXPRS - Bela, HA5DI",,, T2CSNGRAD http://hg8lxl.ham.hu:14501
0,1742633897,2025-03-22T08:58:17Z,HG5PBP-1,HG5PBP-1,11(4/2),0,T,HG5PBP-1,/a,,,,,,,,,SQ3PLX http://microsat.com.pl/,,"Seq=78, A1=185, A2=25, A3=1, A4=95, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1742633899,2025-03-22T08:58:19Z,HG5PBP-1,HG7PDK-2,8(3/2),0,T,HG5PBP-1,/a,,,,,,,,,SQ3PLX http://microsat.com.pl/,,"Seq=78, A1=185, A2=25, A3=1, A4=95, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1742633906,2025-03-22T08:58:26Z,YO5KIP-10,HG7PDK-2?,6(3/2),0,@,YO5KIP-10,/#,46.759000,22.794167,,,,,,,SQ3PLX http://microsat.com.pl/,,,Vladeasa Mt Digipeater & Igate
0,1742633916,2025-03-22T08:58:36Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742633950,2025-03-22T08:59:10Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742633961,2025-03-22T08:59:21Z,YO5KIP-10,HG7PDK-2?,8(3/2),0,T,YO5KIP-10,/<,,,,,,,,,SQ3PLX http://microsat.com.pl/,,"Seq=14, A1=167, A2=76, A3=9, A4=71, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1742633976,2025-03-22T08:59:36Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742633980,2025-03-22T08:59:40Z,HA7HAT,HG7PDK-2?,6(3/2),0,=,HA7HAT,/-,47.625167,19.041333,,,,,,,KA2DDO Yet another APRS system,,,",/W1Testing YAAC on Linux Mint"
0,1742633984,2025-03-22T08:59:44Z,HG4HNA-1,HG7PDK-2,5(2/2),0,@,HG4HNA-1,/#,47.258500,18.596833,,,,,,,SQ3PLX http://microsat.com.pl/,,," Meleg-hegy (ASL: 352m) - APRS IGate & Digi - HAMNET: 2392MHz,5MHz BW,Ver."
